景点中文名称, 景点英文名称, 排名, 评价
武汉国际博览中心,Wuhan International Expo Center,314,

木兰天池休闲度假区,,380,木兰天池度假酒店环山而建，功能齐全，提供四星标准住宿，同时拥有面积30余亩的别墅群及坐落山林间的森林小木屋。

良友红坊文化艺术社区,,没有排名,

得胜桥,Desheng Bridge,375,

意大利风情街,Yidali Fengqing Street,6,

黑暗骑乘--梦幻长江,,672,长江文明馆力图展现最全面的长江流域文化，将当代最时兴的黑暗骑乘体验项目纳入规划中择名为《梦幻长江》，项目主人翁“淇淇”形象取自于生活在长江的可爱江豚。整个游览项目将由淇淇一家带领观众穿梭长江之景，体验长江之美。

木兰玫瑰园,Mulan Rose Garden,692,

宝通禅寺,Baotong Temple,97,

武昌城,,179,中国近代史上的许多革命运动和重大事件都在武昌城上留下踪迹

刘少奇故居,Liushaoqi Former Residence,221,

长江荣耀游船,,没有排名,

汉口镇戏码头,,没有排名,

中国建筑科技馆,China Architecture Science And Technology Museum,没有排名,

院基寺水库,Yard Jisi Reservoir,没有排名,

府河湿地,Fuhe Wetland,没有排名,

外婆桥（木兰天池景区）,Grandma Bridge (Mulan Tianchi Scenic Area),没有排名,

二七长江大桥,Er’qi Yangtze River Bridge,没有排名,

白云阁,Baiyunge,没有排名,

天兴洲,Tianxing Sandbar,没有排名,

张之洞与武汉博物馆,Zhang Zhidong and Wuhan Museum,没有排名,

平和打包厂旧址,Pinghe Packaging Factory Former Site,没有排名,

木兰天池跨山玻璃天桥,,29,木兰天池跨山玻璃天桥是华中唯一吊式跨山玻璃天桥长度168米，高度88米。

香草花田,Vanilla Flower Field,446,

中共五大会址纪念馆,CPC Fifth Congress Memorial,64,

龟山风景区,Guishan Park,62,

问津书院,,没有排名,

东湖海洋乐园,,没有排名,

小朱湾,Xiaozhuwan Village,没有排名,

武昌红巷码头,Wuchang Hongxiang Tourism Wharf,304,

金龙水寨生态乐园,Jinlongshuizhai Ecology Amusement Park,703,

辛亥革命博物馆,Xinhai Revolution Museum,39,了解辛亥革命的历史，学习革命先辈的精神。

楚天台,Chutiantai Building,180,

武汉梨园景区,,122,一年四季，繁花不断，沁人心脾。

大禹神话园,Dayu Shenhua Park,182,

八七会议会址,"Baqi"" Conference Site",213,

中山舰博物馆,Zhongshan Warship Museum,124,

木兰湖,Mulan Lake,229,

酒醉湖,,273,原名百花湖。此地在武汉海拔最高、纬度最北、温差最大、空气最新、区间最静、山林最古、湖水最绿、野趣最浓、民风最淳。

景德寺,,没有排名,

漳河风景区,,没有排名,

新华农庄,,没有排名,

汉江,,没有排名,

梁子湖薰衣草牧场,,没有排名,

青山江滩,,没有排名,

武汉汉正街博物馆,Wuhanhanzheng Street Museum,没有排名,

武汉市江夏区博物馆,Wuhanshi Jiangxiaqu Museum,没有排名,

盘龙城遗址博物院,Panlong City Ruins Museum,没有排名,

武汉东湖梅花博物馆,Wuhan Donghu Meihua Museum,没有排名,

花朝河湾,Huachaohewan Scenic Area,没有排名,

武汉新洲区科技馆,XinZhouQu KeJiGuan,没有排名,

吴家山公园,Wujia Mountain,没有排名,

汉口近代建筑群汉口水塔,Hankou Water Tower,没有排名,

徐东商业街,Xudong Commercial Street,没有排名,

龙灵山生态公园,Longling Mountain Ecology Park,没有排名,

武汉天地,Wuhan Tiandi Plaza,没有排名,武汉商业新地标，遍布时尚餐厅和文艺小店，城市达人的聚集地。

七彩螺,,没有排名,

盘龙古城遗址,Panlonggucheng Ruins,没有排名,

茶艺博览园,Tea Art Expo Park,没有排名,

游乐设施区,,没有排名,

铜锣湾休闲佰惠广场,Tongluowan Xiuxian Baihui Square,没有排名,

歆宝贝乐园,,没有排名,

武汉华中科技大学武昌分校艺术设计学院展览厅,HuaZhong KeJi DaXue WuChang FenXiao YiShuSheJi XueYuan ZhanLanTing,没有排名,

巴公房子,Bagong House,没有排名,

楚天181文化创意产业园,Chutian 181 Originality Park,290,

柏泉古井度假村,Baiquan Ancient Well,112,

汉口粤汉码头,Hankou Yuehan Wharf,305,

鹦鹉洲长江大桥,Yingwuzhou Yangtze River Bridge,330,

花楼街,Hualou Street,340,

苍柏园,Sturdy Cypress Garden,348,

落雁岛,The Luoyan Island,310,

紫薇苑,,392,紫薇是黄鹤楼公园园花，紫薇苑以紫薇观赏为特色

落梅轩,,397,位于黄鹤楼东南 300 米处。该轩长约 50 米，宽 15.5 米，高 17 米，建筑面积 1750 平方米。“落梅轩”之名，源于唐代大诗人李白著名诗句“黄鹤楼中吹玉笛，江城五月落梅花”。古色古香的外观与景区内的黄鹤楼、白云阁等相映成趣。

鲲鹏广场,,399,

马鞍山森林公园,Ma'anshan Forest Park,160,

403国际艺术中心,403 Art District,72,

武汉木兰叮当蝴蝶谷,Mulan Dingdang Butterfly Valley,411,

江汉大学,,420,江汉大学是经中国教育部批准，由原江汉大学、华中理工大学汉口分校、武汉职工医学院、武汉教育学院等高校合并组建的一所公立的综合性普通高等学校。

银河汇冰雕城,,506,武汉银河汇冰雕城项目位于武汉市汉阳区城市主干道—龙阳大道和四新大道交叉口，距离三环线（武汉最快速和通畅的市区环线通道）仅为1公里，与正在建设中的二环线相距3公里，“汉阳客运中心”隔路相望，武汉的机场、火车站、汽车客运站、武广中心、汉…

松鼠乐园,Squirrel Paradise,508,

解放公园,Jiefang Park,666,

汉绣博物馆,,679,位于汉阳区江欣苑社区的武汉汉绣博物馆一期（当前开放）面积达1000平米，展示了包括《九头鸟》、《古黄鹤楼》在内的多幅汉绣精品。据了解，整个博物馆最终建筑面积将达5000平米，包括历史馆、名人馆、陈列馆、实景馆和体验区等。

天寨沟漂流,Tianzhaigou Drifting,695,

东西湖郁金香主题公园,Dongxihu Tulip Theme Park,699,

武汉达临性学博物馆,Dalin Museum for Sexology,55,

普罗旺斯薰衣草庄园,Puluowangsi Xunyicao Manor,14,

华中科技大学,Huazhong Science and Technology University,121,校园内树木茂盛，还能秋季赏红叶，处处都散发着青春的气息。

张公山寨,Zhanggong Shanzhai,240,

张之洞体育公园,,没有排名,

扁担列村,Biandanlie Village,没有排名,

武汉动物王国,,没有排名,

嘟噜嘟噜萌宠科普主题乐园,zoolungzoolung,没有排名,

欢乐广场,Huanle Square,没有排名,

欢乐儿童游乐园,,没有排名,

柏泉农场,Wuhan State-owned Baiquan Farm,279,

华侨城生态艺术公园,Huaqiaocheng Ecology Art Park,313,

柏泉天主堂,Baiquan Catholic Church,404,

观音寺,,566,

蛇山,Sheshan Mountain,45,

异国风情园,Exotic Garden,238,

春秋阁,Spring and Autumn Pagodas,没有排名,

东湖梅园,East Lake Plum blossom Garden,18,

珞珈山,Luojia Mountain,44,

武汉国民政府旧址,The Former Site of the Wuhan National Government,35,曾经作为武汉国民政府的办公地点，历史意义深刻。

民众乐园,,123,是一个娱乐、商业兼备的综合性游乐场所

洪山公园,Hongshan Park,176,

京汉铁路总工会旧址,Jinghan Railway General Labour Union Former Site,177,

听涛轩,Tingtaoxuan,178,

首义广场,Shouyi Square,90,

起义门,Uprising Gate,85,

华中师范大学,Huazhong Normal University,51,

中央农民运动讲习所,,181,位于武昌红巷13号，为湖北省文物保护单位。这里原是清末湖广总督张之洞举办的北路学堂，后改为湖北省甲种商业学校、湖北省高等商业学校占地面积约11000平方米，建筑面积为6350平方米。随着北伐的胜利进军，国民政府于1927年1月从广州迁到武汉，作为…

东湖楚城,"Chu City, East Lake",83,

毛泽东同志旧居,Mao Zedong's Former Residence (Wu Han),25,参观伟人在武汉居住过的地方，追寻伟人的足迹。

龙王庙公园,,104,武汉市龙王庙公园始建于上世纪六十年代，其前身为武汉市江汉公园，公园坐落于两江四岸交汇的龙王庙遗址旁。

辛亥革命烈士公墓,,183,在武汉市汉口球场路、利济北路和汉阳扁担山等处。辛亥革命阳夏保卫战中，起义军阵亡将士4200人，当时由红十字会就地集中稍事掩埋，分布于汉口、汉阳，共有29处。解放后仅存4处，后合并为3处。一为球场路烈士公墓，俗称“六大堆”，单洞烈士公墓迁此…

观鱼台,,185,在东湖屈原纪念馆北侧虎岭东麓湖中。以放养观赏鱼类、供人游览而名。为东湖主要名胜之一。其上6座亭阁式建筑，皆琉璃瓦顶，朱红楹柱，飞檐翘角，十分精美。台阶、栏杆、廊道、水池及其他各种设置，或端丽、或舒展、或古雅，均颇宜人。建筑群以回旋…

汉阳城,,186,在汉阳区内。唐武德四年（621），汉阳城在东汉末年所筑鲁山城的基础上扩建。城周围3.54公里。有八个城门：东名迎春，南名沙洲，西名孝感，北名汉广，东南名朝天，西南名汉南，东北名庆贺，西北名下议．此城“东南枕大江，北控月湖”，包容风栖山（…

卓刀泉,Zhuodao Spring,187,

华中农业大学,,189,中国武汉著名的七校联合办学高校之一

长春观,Changchun Guan,190,名字来源于“长春子”丘处机道长的道号。

洞庭街,Dongting Street,191,

湖光阁,Huguang Pavilion,192,

先月亭,Xianyue Pavilion,194,

磨山友谊林,Moshan Friendship Forest,195,

长江书店旧址,Changjiang Bookstore Site,196,

落霞水榭,Luoxia Shuixie Marina Ticket Office,198,

防洪纪念碑,Flood Protection Monument,199,

墨水湖,Moshui Lake,125,

鲁迅广场,Luxun Square,201,

武汉革命博物馆,Wuhan Revolution Museum,76,

行吟阁,Hangyin Pavilion,203,

北伐军官兵公墓,,204,在洪山东段南麓。是1926年北伐军攻武昌城牺牲的北伐军第四军独立团第一营营长、攻城敢死队长曹渊等191位烈士的埋骨处。原在山之东南，后迁于此。墓为长方形，砖石砌筑，墓前正中嵌有当年所立墓碑，碑额镌“精神不死”四个大字，中刻“国民革命军第…

长天楼,Changtian Building,205,

离骚碑,Lisao Monument,206,

中国地质大学,Zhongguodizhi University,207,

双凤亭,Shuangfeng Pavilion,208,

莲溪寺,Lianxi Temple,114,

濒湖画廊,Binhu Gallery,210,

鸟语林,World of Birds,211,

詹天佑故居,Zhantianyou's Former Residence,212,

北海近代建筑,,65,1876年中英《烟台条约》签订后，北海被列为对外通商口岸。先后有英国、德国、奥匈帝国、法国、意大利、葡萄牙、美国、比利时等八个国家在北海设立领事馆和商务机构，同时建造了欧式风格的楼宇，包括教堂、医院、海关、洋行、修女院、育婴堂、学校等…

文华书店,,214,

金银湖国家城市湿地公园,Jinyin Lake Wetland Park,89,

红钢城街图书馆,,218,

武汉理工大学（马房山校区）,Wuhan University of Technology,219,武汉理工大学马房山校区由原武汉工业大学、武汉汽车工业大学构成，分为东院、西院、鉴湖、南湖新校区。

可竹轩,Kezhu Pavilion,220,

道观河风景区,Taoist River Scenic Area,74,

石榴红村,Shiliuhong Village,91,

中南民族大学,Zhongnanminzu University,71,

武汉大好河山休闲旅游区,Wuhan Dahaoheshan Leisure Tourist Area,222,

屈原纪念馆,Quyuan Memorial Hall,223,

拜将台,,224,在阅马厂南端。1911年10月辛亥革命武昌起义后，清王朝调动大军，南下武汉，当时，中国同盟会领导人之一的黄兴，由沪来鄂，主持军事，革命军政府遂于11月3日任其为战时总司令，在此筑台授印，因名拜将台。原台系临时搭建，1928年正式建亭立碑，以作…

九女墩,Nine Women Pier,226,

六一惨案遗址,,127,在武昌珞珈山武汉大学校园内。1947年，在中国共产党领导下，反饥饿、反内战、反迫害的学生运动遍及国民党统治区。以武汉大学为中心的学潮成为这次学运的重要组成部分。6月1日凌晨3时，武汉当局调集全副美式装备的军、警、宪、特1000余人突然闯人武…

鹦鹉洲,,126,原在武汉市武昌城外江中。相传由东汉末年弥衡在黄祖的长子黄射大会宾客时，即席挥笔写就一篇“锵锵戛金玉，句句欲飞鸣”的《鹦鹉赋》而得名。后弥衡被黄祖杀害，亦葬于洲上。历代不少名人，“藏船鹦鹉之洲”纵观大江景色，留下了很多诗篇，唐崔颢“…

武汉民族文化村,,107,武汉民族文化村坐落在秀丽的江夏区汤逊湖畔(中南民族学院前五公里处）。是湖北省第一家中日合资兴建的主题公园。

中华全国总工会旧址,,227,在汉口友益街16号。旧址占地面积1500平方米，为两幢西式楼房，坐北向南，砖混结构，右楼为3层，左楼为2层，占地面积分别为340平方米和450平方米。右楼原系军阀吴佩孚部将陈汉卿私宅，1926年9月北伐军攻占汉口后被国民政府没收；左楼原为汉口药业资…

二七烈士纪念碑,Er Qi Martyr Monument,228,

朱碑亭,Zhubei Pavilion,230,

武汉长江隧道,,231,武汉长江隧道连通长江两岸中心城区，位于武汉长江大桥、长江二桥之间。

寓言园,Fable Garden,232,

盆景园,,233,它既有江南园林的精巧，又略具皇家园林的大方，园中套园，园外有园，馆、榭、亭、台之间，被花墙回廊、流水蹊径巧妙地连接，似通又隔，似隔又通，回环聚散，自成体系。

祝融观星,,234,楚天台背后、磨山之巅矗立的一尊气宇轩昂的楚人公认的远祖祝融的铁像。高5.5米、重6.5吨，基座1.5米，下为九级圆形平台，平台铺石。以白麻石形成八方星座，镶嵌在青石之中，周围石栏有28个石墩，分别为东、南、西、北各七宿，以划四方，定四季。雕…

木兰古门,Mulan Ancient Gate,235,

珞洪景区,,236,珞洪景区是景点保护区，东湖24景中珞珈书乡（武汉大学校园）、古刹塔影就坐落在这个景区内。沿傅家坡到卓刀泉主要景点有无影塔（兴福寺塔），初建于南宋咸淳六年，塔高11.5米，底径4.25米，八角四层，仿木结构石砌建筑，每层檐下作人字拱，每层每面…

水色一天,,128,主要是指长天楼为中心的景区。长天楼为砖木水泥结构，翠瓦飞檐，形若宫殿，楼分上下两层，面阔7间。楼前广场如茵，水杉成林。

南岸嘴江滩公园,,237,两江“泾渭分明”奇观

沧浪亭,Canglang Pavilion,36,

桂花园,,239,桂花园位于磨山南坡，占地4.1公顷。景区先后从杭州西湖、湖北咸宁引种桂花上万株，主要是金桂、银桂、丹桂和四季桂。大部分桂花树高达4至5米，宛如一柄柄撑天巨伞相连，冠盖项属，茂密幽深。园中曲径通幽，山坡绵延起伏。每当秋季来临时，金风送爽…

明楚王墓,,119,明楚王墓位于湖北省武汉市江夏区龙泉镇龙泉山，是明朝(公元1368年-1644年)九位楚藩王的陵寝。

兴福寺塔,,241,"位于湖北省武汉市洪山宝通禅寺西侧 ,兴福寺塔又称无影塔，传说夏至中午时分，此塔无影，故称“无影塔”，又因它比附近灵济塔小得多，所以又称小塔。原在洪山东端山麓，1963年春移至洪山西南麓复原。"

三烈士亭,,242,位于湖北省武汉市武昌解放路南端武昌造船厂东门内（原清湖广总督署东辕门前）。系彭楚藩、刘复基、杨洪胜三烈士纪念设施。1911年（宣统三年） 10月 9日，即武昌起义前一天，因设在汉口、武昌的起义机关相继败露，党人彭、刘、杨三人被捕。在当晚的…

苏联空军志愿队烈士墓,,244,苏联空军志愿队烈士墓在武汉市汉口解放公园内。是抗日战争时期为支援中国人民而英勇献身的苏联空军志愿队15位国际主义战士的坟墓。原在中山大道陈怀民路万国公墓中，1956年迁此。左倚朝梅岭，右靠夕桂山，墓地面积1万多平方米。墓扩用花岗石砌成，…

九峰山摩崖,,245,在武汉市武昌九峰山崖上。明洪武三十年（1397年），九峰寺高僧无念禅师高徒胜学和尚在寺后崖上开龛，将朱元章御赐其师的诗文镌刻其上，是为“御制谕僧无念”石刻。龛高160厘米，宽97厘米，正书30行，计930字。正文记述了朱元璋召见无念禅师的经过。…

留云亭,Liuyun Pavilion,247,

素山寺国家森林公园,,248,有山林近万亩，稀有植物和珍禽异兽百余种，1993年批准为国家森林公园。

钟子期墓,,249,钟子期墓坐北朝南，背山面湖。山上青松葱茏，山下芳草碧翠，湖面绿波粼粼，湖畔流水潺潺，凤鸣水声，宛若琴音。春秋佳日，烟雨迷离，更有一番情趣。

中山大道,Zhongshan Avenue,103,

水生花卉园,,251,水生花卉园宛如一位清纯的少女横卧在盆景园、竹类园、蔷薇园之间，占地5.6公顷。四周林木环绕，垂柳依依，桃花环抱。湖中的两座小岛由九曲桥、芙蓉桥连结水陆，是东湖风景区最大的赏荷地。每当夏季到来之时，凉风习习，清香喷溢，正如古人诗云：“…

新华路体育馆,,252,1955年4月建成的武汉新华路体育场，与中山公园相邻，其前身为汉口体育场

长江大学（武汉校区）,,253,武汉校区三面环水，环境秀丽，景色宜人，是长江大学高水平的研发基地、高层次人才引进基地以及对外宣传与交流基地。

湖泗瓷窑址群,,255,湖泗瓷窑址群规模大、分布范围广、延续时间长，在长江中游地区的古代窑址中实不多见。该窑址的发现，填补了长期以来宋瓷研究中“湖北无瓷窑”的空白。

施洋烈士陵园,,256,在洪山西南麓。施洋（1889一1923），字伯高，竹山县人，律师。1921年参加中国劳动组合书记部工作，次年加入中国共产党。曾先后担任武汉工团联合会和京汉铁路总工会的法律顾问，为“二七”大罢工领导人之一。1923年2月7日被捕，在法庭上与敌人进行了…

宝田寺,,259,位于武昌洪山。洪山古名东山，故寺亦名东山寺。宋端平年间由湖北随州大洪山的幽济禅院迁此。经多次毁建，现寺院为同治四年重修。正中有天王殿、大雄宝殿、祖师殿、藏经楼；右为排堂；左为方丈室。再上为铁佛寺、华严洞、华严亭、法界宫。寺后有宝通…

陈潭秋故居,,260,在武昌都府堤20号（今江汉大学武昌分校内）。陈潭秋（1896-1943），中国共产党创始人之一，湖北黄冈人。1921年7月，出席中共第一次全国代表大会。1924年，任中共武汉地委书记、湖北区委委员兼组织部长。1922年秋――1923年春、1924年夏――1927年夏…

世界宝玉石博览馆,World Gems and Jades Expo Hall,262,

华泰汤孙湖旅游度假区,Tangxun Lake Tourist Resort,263,

雁栖水榭,,264,雁栖水榭座落于磨山西端湖畔，相传这里曾是芦苇浩荡、群雁栖息的地方，为召唤群雁回归而建。水榭是一座连接主厅、亭廊、水院于一体的组景。飞檐翘角，宛如水上行宫。宫内设有茶座，游人在此品茶，临波远眺，湖鸥翔集，渔舟晚唱，“落霞与孤鹭齐飞，…

武汉介子山庄,,265,武汉介子山庄位于风景秀丽的锦龙水库旁，山庄前有周恩来总理亲自视察过的锦龙水库、世界黄氏发源地——江夏黄氏宗祠、沙滩浴场、高尔夫练习场等人文自然景观。

花园道,,110,情调是这里的代名词，宁静是这里的座右铭。

龙泉山楚王陵王妃墓,,266,楚王陵便布于风景秀丽龙泉山山上。这座楚王陵不是春秋战国时楚国的王陵，而是明朝朱洪武十四年（1381年）朱元璋第六子朱桢被封为楚王，以此地为楚王墓葬区。

竹类园,,267,竹类园位于水生的南岸，东起松柏园，西抵梅园，意在形成松、竹、梅“岁寒三友”的造园格局。现有楠竹、琴丝竹、凤尾竹、斑竹、罗汉竹、方竹等60多个竹类品种。采取分类布置，自然写意的造景手法，或曲径通幽，或竹篱茅舍，展现给游人的是“凤尾森森…

凤标,,268,凤标是楚文化旅游区的徽记。在古代凤是楚人的吉祥物，是将鹰、雕、雉、燕、孔雀等许多凡鸟的美好特征组合成的理想中的神鸟，是太阳的精华变成的火鸟。凤标净高7.2米，共用铜15.8吨，两凤矗立在百兽之王老虎的背上，其势不凡。“虎座立凤”是楚国鼎…

一三惨案遗址,,269,在汉口苗家码头，原江汉关前华界与英租界交界处的空坪。 1927年1月1日开始，武汉市民集会庆祝北伐战争胜利和国民政府迁都武汉，并举行声势浩大的宣传活动。l月3日下午，中央军事政治学校宣传员在这里演讲时，英租界当局从停泊在江面的英舰上调集大…

崇真堂,Wuhan Christian Church Chongzhen Church,61,

青山公园,Qingshan Park,271,

汉江湾大桥,,没有排名,

八铺街江滩,,没有排名,

伏牛山,,没有排名,

知音广场,,没有排名,

澳门路小森林,,没有排名,

黄塘湖公园,,没有排名,

府河园（盆景林园艺术空间）,,没有排名,

远洋长江樽国际无界艺术馆,,没有排名,

机械王国,,没有排名,

枭龙汽车爱国主义教育基地,,没有排名,

武汉梁子湖鹰猎牧场,,没有排名,

金口,,没有排名,

茗泉谷都市农业产业园,,没有排名,

农耕年华,,没有排名,

武汉趣谷旅游区,,没有排名,

黄家湖生态湿地公园,,没有排名,

白沙洲大桥江滩公园,,没有排名,

凤凰公园,,没有排名,

昙华林近代教育博物馆,,没有排名,

青春村樱花园,,没有排名,

复兴体育公园,,没有排名,

问津缘探索小镇,,没有排名,

武汉中心大厦,,没有排名,

码头文化广场,,没有排名,

芷美空间,,没有排名,

九丘书吧,,没有排名,

红色广场,,没有排名,

汉阳铁厂,,没有排名,

